id,name,year,overall,Pos,BirthDate,PID
36276,Alexander Karpovtsev,1990,158,D,1970-04-07,8456793
41924,Milan Nedoma,1990,166,D,1972-03-29,8457480
41395,Jaroslav Modry,1990,179,D,1971-02-27,8457403
27335,Mika Alatalo,1990,203,R,1971-06-11,8455413
35219,Marko Jantunen,1991,239,L,1971-02-14,8458751
32034,Peter Forsberg,1991,6,C,1973-07-20,8458520
37766,Alex Kovalev,1991,15,R,1973-02-24,8458529
41859,Markus Naslund,1991,16,L,1973-07-30,8458530
48552,Niklas Sundblad,1991,19,R,1973-01-03,8458533
45559,Martin Rucinsky,1991,20,R,1971-03-11,8458534
45259,Juha Riihijarvi,1991,254,R,1969-12-15,8458793
30284,Rene Corbet,1991,24,R,1973-01-24,None
43183,Ziggy Palffy,1991,26,R,1972-05-05,8458540
5241,Jassen Cullimore,1991,29,D,1972-12-04,8458543
43106,Sandis Ozolinsh,1991,30,D,1972-08-03,8458544
33532,Martin Hamrlik,1991,31,D,1973-05-06,8458545
48445,Jozef Stumpel,1991,40,C,1972-07-20,8458554
5521,Craig Darby,1991,43,C,1972-09-26,8458557
2683,Rich Brennan,1991,46,D,1972-11-26,8458560
51678,Jason Young,1991,57,L,1972-12-16,8458571
42576,Michael Nylander,1991,59,C,1972-10-03,8458573
43491,Shane Peacock,1991,60,D,1973-07-07,8458574
46119,Yves Sarault,1991,61,L,1972-12-23,8458575
34171,Milan Hnilicka,1991,70,G,1973-06-25,8458584
52030,Alexei Zhitnik,1991,81,D,1972-10-10,8458595
24466,Brad Tiley,1991,84,D,1971-07-05,8458598
2738,Aris Brimanis,1991,86,D,1972-03-14,8458600
35706,Steve Junker,1991,92,C,1972-06-26,8458606
38289,Alexei Kudashov,1991,102,C,1971-07-21,8458616
14430,Bill Lindsay,1991,103,L,1971-05-17,8458617
30348,Mariusz Czerkawski,1991,106,N/A,1972-01-12,None
51702,Dmitry Yushkevich,1991,122,D,1971-11-19,8458636
43825,Oleg Petrov,1991,127,L,1971-04-18,8458641
44550,Martin Prochazka,1991,135,R,1972-03-03,8458649
35447,Andreas Johansson,1991,136,C,1973-05-19,8458650
18494,David Oliver,1991,144,R,1971-04-17,8458658
7287,Kelly Fairchild,1991,152,L,1973-04-09,8458666
34281,Terry Hollinger,1991,153,D,1971-02-24,8458667
39106,Guy Lehoux,1991,179,D,1971-10-19,8458690
39040,Rob Leask,1991,209,D,1971-06-09,8458721
28210,Vegar Barlie,1991,210,D,1972-08-07,8458722
30597,Nathan Dempsey,1992,245,D,1974-01-13,None
51549,Alexei Yashin,1992,2,C,1973-11-05,8458939
25685,Todd Warriner,1992,4,L,1974-01-03,8458941
36349,Darius Kasparaitis,1992,5,D,1972-10-16,8458942
43804,Robert Petrovicky,1992,9,C,1973-10-26,8458946
4751,David Cooper,1992,11,D,1973-11-02,8458948
38066,Sergei Krivokrasov,1992,12,R,1974-04-15,8458949
32741,Sergei Gonchar,1992,14,D,1974-04-13,8458951
48303,Martin Straka,1992,19,C,1972-03-09,None
28143,Drew Bannister,1992,26,D,1974-04-09,8458962
30192,Jozef Cierny,1992,35,R,1974-01-12,None
22283,Jeff Shantz,1992,36,C,1973-10-10,8458972
37521,Igor Korolev,1992,38,C,1970-09-06,8458974
29488,Sergei Brylin,1992,42,C,1974-01-13,8458978
32074,Mike Fountain,1992,45,G,1972-01-26,8458981
42203,Andrei Nikolishin,1992,47,L,1973-03-25,8458983
49622,Patrick Traverse,1992,50,D,1974-03-14,8458986
50060,Stefan Ustorf,1992,53,C,1974-01-02,8458989
35512,Mathias Johansson,1992,54,L,1974-02-22,8458990
48136,Ondrej Steiner,1992,59,C,1974-02-11,8458995
23496,Jeremy Stevenson,1992,60,L,1974-07-28,8458996
29755,Jan Caloun,1992,75,R,1972-12-20,8459011
13485,Marc Lamothe,1992,92,G,1974-02-27,8459028
44830,Marcus Ragnarsson,1992,99,D,1971-08-13,8459035
33897,Sami Helenius,1992,102,D,1974-01-22,8459038
36935,Tomas Klimt,1992,104,N/A,1973-12-26,8459040
35560,Michael Johnson,1992,130,R,1974-10-03,8466109
30817,Jiri Dopita,1992,133,N/A,1968-12-02,8459069
41709,Rem Murray,1992,135,C,1972-10-09,8459071
27407,Jan Alinc,1992,163,C,1972-05-27,8459099
39558,Juha Lind,1992,178,L,1974-01-02,8459114
17887,Nicholas Naumenko,1992,182,D,1974-07-07,8459118
49810,Marko Tuomainen,1992,205,L,1972-04-25,8459141
51238,Magnus Wernblom,1992,207,R,1973-02-03,8459143
49326,Mattias Timander,1992,208,D,1974-04-16,8459144
24568,Jeff Toms,1992,210,C,1974-06-04,8459146
34228,Jonas Hoglund,1992,222,R,1972-08-29,8459158
10606,Chris Herperger,1992,223,C,1974-02-24,8459159
33136,Yuri Gunko,1992,230,D,1972-02-28,8459166
16218,Dan Mcgillis,1992,238,D,1972-07-01,8459174
35623,Hans Jonsson,1993,286,D,1973-08-02,8459700
18082,Rob Niedermayer,1993,5,C,1974-12-28,8459427
37849,Viktor Kozlov,1993,6,C,1975-02-14,8459428
48576,Niklas Sundstrom,1993,8,R,1975-06-06,8459430
35629,Kenny Jonsson,1993,12,D,1974-10-06,8459434
43521,Denis Pederson,1993,13,C,1975-09-10,8459435
40769,Jesper Mattsson,1993,18,R,1975-05-13,8459440
26303,Landon Wilson,1993,19,R,1975-03-13,8459441
31427,Anders Eriksson,1993,22,D,1975-01-09,8459443
28760,Radim Bicanek,1993,27,D,1975-01-18,8459449
17535,Tyler Moss,1993,29,G,1975-06-29,8459451
49746,Nikolai Tsulygin,1993,30,D,1975-05-29,8459452
13560,Scott Langkow,1993,31,G,1975-04-21,8459453
50987,David Vyborny,1993,33,C,1975-01-22,8459455
42163,Janne Niinimaa,1993,36,D,1975-05-22,8459458
49546,Shayne Toporowski,1993,42,R,1975-08-06,8459464
38113,Vlastimil Kroupa,1993,45,D,1975-04-26,8459467
32593,Rick Girard,1993,46,C,1974-05-01,8459468
19677,Domenic Pittis,1993,52,C,1974-10-01,8459474
517,Chris Armstrong,1993,57,D,1975-06-26,8459478
43591,Ville Peltonen,1993,58,L,1973-05-24,None
32330,Maxim Galanov,1993,61,D,1974-03-13,8459482
20780,Jamie Rivers,1993,63,D,1975-03-16,8459484
29979,Vladimir Chebaturkin,1993,66,D,1975-01-22,None
2092,Patrick Boileau,1993,69,D,1975-02-22,8459490
40326,Marek Malik,1993,72,D,1975-06-24,8459493
29172,Sebastien Bordeleau,1993,73,C,1975-02-15,8459494
33187,Ravil Gusmanov,1993,93,L,1972-07-25,8459518
26522,Bob Wren,1993,94,L,1974-09-16,8459519
17742,Marty Murray,1993,96,C,1975-02-16,8459521
28312,Shawn Bates,1993,103,C,1975-04-03,8459527
46143,Miroslav Satan,1993,111,R,1974-10-22,8459534
44480,Nolan Pratt,1993,115,D,1975-08-14,8459538
46011,Tommy Salo,1993,118,G,1971-02-01,8459541
50727,Tomas Vlasak,1993,120,L,1975-02-01,8459543
41931,Zdenek Nedved,1993,123,R,1975-03-03,8459546
15440,Norm Maracle,1993,126,G,1974-10-02,8459549
41785,Anders Myrvold,1993,127,D,1975-08-12,8459550
12334,Chris Kelleher,1993,130,D,1975-03-23,8459553
50313,Petri Varis,1993,132,L,1969-05-13,8459555
41869,Alain Nasreddine,1993,135,D,1975-07-10,8459558
48717,Per Svartvadet,1993,139,C,1975-05-17,8459562
33025,Michal Grosek,1993,145,R,1975-06-01,8459568
36105,Jere Karalahti,1993,146,D,1975-03-25,8459569
905,Frank Banham,1993,147,R,1975-04-14,8459570
36187,Andreas Karlsson,1993,148,C,1975-08-19,8459571
51871,Nikolai Zavarukhin,1993,169,C,1975-03-18,8459592
25065,Darren Van Impe,1993,170,D,1973-05-18,8459249
14450,David Ling,1993,179,R,1975-01-09,8459602
39084,Manny Legace,1993,188,G,1973-02-04,8459308
10353,Paul Healey,1993,192,R,1975-03-20,8459614
48984,Sean Tallaire,1993,202,R,1973-10-03,8459623
14266,Alan Letang,1993,203,D,1975-09-04,8459624
47431,Viteslav Skuta,1993,204,D,1974-07-17,8459625
32091,Petr Franek,1993,205,G,1975-04-06,8459626
35458,Daniel Johansson,1993,222,D,1974-09-10,None
48343,Martin Strbak,1993,224,D,1975-01-15,8459645
30590,Pavol Demitra,1993,227,R,1974-01-28,None
44547,Libor Prochazka,1993,245,D,1974-04-25,8459665
33209,Per Gustafsson,1994,261,D,1970-06-04,8460747
23496,Jeremy Stevenson,1994,262,L,1974-07-28,8458996
28540,Ladislav Benysek,1994,266,D,1975-03-24,8460751
39594,Jan Lipiansky,1994,270,C,1974-07-23,8460755
49072,Dick Tarnstrom,1994,272,D,1975-01-20,8460757
51494,Andrei Yakhanov,1994,281,D,1973-07-23,8460765
48672,Toivo Suursoo,1994,283,R,1975-11-13,8460767
29156,Radek Bonk,1994,3,C,1976-09-01,None
48292,Jamie Storr,1994,7,G,1975-12-28,8460497
8213,Jeff Friesen,1994,11,L,1976-08-05,8460501
30492,Johan Davidsson,1994,28,C,1976-01-05,8460518
40506,Josef Marha,1994,35,C,1976-06-02,8460526
42204,Angel Nikolov,1994,37,D,1975-11-18,8460528
10897,Jason Holland,1994,38,D,1976-04-30,8460529
29433,Curtis Brown,1994,43,C,1976-02-12,8460534
11762,Lee Jinman,1994,46,L,1976-01-10,8460537
43327,Richard Park,1994,50,R,1976-05-27,8460541
29667,Sven Butenschon,1994,57,D,1976-03-22,8460548
51486,Vitali Yachmenev,1994,59,L,1975-01-08,8460551
27647,Artem Anisimov,1994,62,D,1976-07-27,8460554
23685,Jason Strudwick,1994,63,D,1975-07-17,8460555
45531,Stephane Roy,1994,68,N/A,1976-01-26,8460559
36749,Marko Kiprusoff,1994,70,D,1972-06-06,None
38059,Alexei Krivchenkov,1994,76,D,1974-06-11,8460566
30798,Hnat Domenichelli,1994,83,N/A,1976-02-17,8460573
17979,David Nemirovsky,1994,84,L,1976-08-01,8460574
50289,Vaclav Varada,1994,89,R,1976-04-26,8460579
49079,Jussi Tarvainen,1994,95,R,1976-05-31,8460584
38336,Arto Kuki,1994,96,C,1976-02-22,8460585
26545,Jamie Wright,1994,98,L,1976-05-13,8460587
18077,Eric Nickulas,1994,99,R,1975-03-25,8460588
47383,Zdenek Skorepa,1994,103,C,1976-08-10,8460592
49660,Pavel Trnka,1994,106,D,1976-07-27,8460594
31260,Nisse Ekman,1994,107,L,1976-03-11,8460595
46349,Chris Schmidt,1994,111,D,1976-03-01,8460599
40873,Mark Mcarthur,1994,112,G,1975-11-16,8460600
23868,Brian Swanson,1994,115,C,1976-03-24,8460603
30951,Yanick Dube,1994,117,N/A,1974-06-14,8460605
32231,Edvin Frylen,1994,120,D,1975-12-23,8460608
1130,Bates Battaglia,1994,132,L,1975-12-13,8460620
46620,Alexander Selivanov,1994,140,L,1971-03-23,8460628
37528,Alexander Korolyuk,1994,141,R,1976-01-15,8460629
27869,Serge Aubin,1994,161,C,1975-02-15,8460649
6998,Calvin Elfring,1994,165,D,1976-04-23,8460653
7847,Colin Forbes,1994,166,C,1976-02-16,8460654
50864,Roman Vopat,1994,172,C,1976-04-21,8460660
37103,Ladislav Kohn,1994,175,L,1975-03-04,8460663
48409,Peter Strom,1994,200,C,1975-01-14,8460688
8994,Raymond Giroux,1994,202,D,1976-11-20,None
34215,Peter Hogardh,1994,203,R,1976-05-25,8460690
51618,Vitali Yeremeyev,1994,209,G,1975-09-23,8460695
29839,Frederic Cassivi,1994,210,G,1975-06-12,8460696
47532,Henrik Smangs,1994,212,G,1976-01-19,8460698
41970,Jan Nemecek,1994,215,D,1976-01-14,None
41793,Evgeni Nabokov,1994,219,G,1975-07-25,8460705
35628,Jorgen Jonsson,1994,227,C,1972-09-29,8460713
39109,Tero Lehtera,1994,235,L,1972-04-21,8460721
41135,Tommi Miettinen,1994,236,C,1975-12-03,8460722
51179,Lars Weibel,1994,248,G,1974-05-20,8460734
51919,Richard Zednik,1994,249,L,1976-01-06,8460735
21251,Jimmy Roy,1994,254,L,1975-09-22,8460740
38101,Radoslav Kropac,1994,260,R,1975-04-04,8460746
28649,Aki Berg,1995,3,D,1977-07-28,8462034
57497,Radek Dvorak,1995,10,R,1977-03-09,8462041
48860,Petr Sykora,1995,18,R,1976-11-19,8460465
41792,Dimitri Nabokov,1995,19,L,1977-01-04,8462049
2937,Sean Brown,1995,21,D,1976-11-05,8462051
58805,Brian Boucher,1995,22,G,1977-01-02,8462052
41529,Aleksey Morozov,1995,24,C,1977-02-16,8462054
38601,Maxim Kuznetsov,1995,26,D,1977-03-24,8462056
34134,Jan Hlavac,1995,28,R,1976-09-20,8462081
30101,Marc Chouinard,1995,32,C,1977-01-05,None
40116,Donald Maclean,1995,33,L,1977-01-14,8462062
30950,Christian Dube,1995,39,C,1977-04-25,8462067
13357,Christian Laflamme,1995,45,D,1976-11-24,8462073
33775,Jochen Hecht,1995,49,L,1977-06-21,8462077
45464,Pavel Rosa,1995,50,R,1977-06-07,8462078
52072,Lukas Zib,1995,57,D,1977-02-24,8462086
33156,Miloslav Guren,1995,60,D,1976-09-24,8462088
40272,Marko Makinen,1995,64,R,1977-03-31,8462091
15691,Mike Martin,1995,65,D,1976-10-27,8462092
46253,Peter Schaefer,1995,66,L,1977-07-12,8462093
34915,Brad Isbister,1995,67,L,1977-05-07,8462094
33180,Sergey Gusev,1995,69,D,1975-07-31,8462096
51010,Sergei Vyshedkevich,1995,70,D,1975-01-03,8462097
49653,John Tripp,1995,77,R,1977-05-04,8462103
35957,Tomi Kallio,1995,81,R,1977-01-27,8462107
38507,Justin Kurtz,1995,84,D,1977-01-14,8462111
15130,Ian Macneil,1995,85,C,1977-04-27,8462112
36077,Sami Kapanen,1995,87,L,1973-06-14,8462114
49365,Daniel Tjarnqvist,1995,88,D,1976-10-14,8462115
2153,Kevin Bolibruck,1995,89,D,1977-02-08,8462116
49593,Vesa Toskala,1995,90,G,1977-05-20,8462117
3991,Sebastien Charpentier,1995,93,G,1977-01-17,None
5580,Matt Davidson,1995,94,R,1977-08-09,8462121
15408,Cameron Mann,1995,99,R,1977-04-20,8462126
47805,Radovan Somik,1995,100,R,1977-05-05,8462127
33547,Michal Handzus,1995,101,C,1977-03-11,8462129
28453,Oleg Belov,1995,102,C,1973-04-20,8462130
9393,Benoit Gratton,1995,105,C,1976-12-28,8462135
42983,Vladimir Orszagh,1995,106,R,1977-05-24,8462136
47668,Jan Snopek,1995,109,D,1976-06-22,8462139
27632,Niklas Anger,1995,112,R,1977-07-14,8462142
41513,Jason Morgan,1995,118,C,1976-10-09,8462149
34521,Jan Hrdina,1995,128,C,1976-02-05,8462159
29430,Michal Bros,1995,130,C,1976-01-25,8462162
34562,David Hruska,1995,131,R,1977-01-08,8462164
40984,Igor Melyakov,1995,137,R,1976-12-23,8462169
38308,Jaroslav Kudrna,1995,142,N/A,1975-12-05,8462174
23091,Brent Sopel,1995,144,D,1977-01-07,8462176
24719,Yannick Tremblay,1995,145,D,1975-11-15,8462177
26147,Marty Wilford,1995,149,D,1977-04-17,8462181
26258,Clarke Wilm,1995,150,C,1976-10-24,8462182
46805,Yevgeny Shaldybin,1995,151,D,1975-07-29,8462183
47910,Martin Spanhel,1995,152,R,1977-07-01,8462184
37234,Alexei Kolkunov,1995,154,C,1977-02-03,8462186
24669,Paul Traynor,1995,162,D,1977-09-14,8462194
56868,Stephane Robidas,1995,164,D,1977-03-03,8462196
45316,Byron Ritchie,1995,165,C,1977-04-24,8462197
16652,Brad Mehalko,1995,167,R,1977-01-04,8462199
40953,Marek Melenovsky,1995,171,C,1977-03-30,8462203
20940,Richard Rochefort,1995,174,C,1977-01-07,8462206
27922,P.j. Axelsson,1995,177,L,1975-02-26,8462209
9349,Jean-Luc Grand-Pierre,1995,179,D,1977-02-02,8462211
42630,Jaroslav Obsut,1995,188,D,1976-09-03,None
39783,Fredrik Loven,1995,189,D,1977-03-14,8462221
38202,Filip Kuba,1995,192,D,1976-12-29,8462225
37871,Ryan Kraft,1995,194,C,1975-11-07,8462227
32803,Ilya Gorokhov,1995,195,D,1977-08-23,8462228
17695,Mark Murphy,1995,197,L,1976-08-06,8462230
49852,Vasili Turkovsky,1995,199,D,1974-09-03,8462233
39806,Sergei Luchinkin,1995,202,L,1976-10-16,8462236
52046,Sergei Zhukov,1995,203,D,1975-11-23,8462272
40539,Danny Markov,1995,223,D,1976-07-30,8462258
31340,David Engblom,1995,234,C,1977-06-02,8462269
52265,Andrei Zyuzin,1996,2,D,1978-01-21,8465250
53326,J-P Dumont,1996,3,L,1978-04-01,8464957
35042,Ric Jackman,1996,5,D,1978-06-28,8464959
30648,Boyd Devereaux,1996,6,C,1978-04-16,8464960
20334,Erik Rasmussen,1996,7,C,1977-03-28,8464968
25643,Lance Ward,1996,10,D,1978-06-02,8464963
10879,Josh Holden,1996,12,N/A,1978-01-18,8464965
10689,Matt Higgins,1996,18,C,1977-10-29,8464971
42226,Marcus Nilson,1996,20,L,1978-03-01,8464978
48455,Marco Sturm,1996,21,R,1978-09-08,8464979
45007,Peter Ratchuk,1996,25,D,1977-09-10,8464980
47406,Pavel Skrbek,1996,28,D,1978-08-08,8464982
13324,Dan Lacouture,1996,29,L,1977-04-18,8464983
32913,Josh Green,1996,30,L,1977-11-16,8464984
9823,Chris Hajt,1996,32,D,1978-07-05,8464986
44394,Marek Posmyk,1996,36,D,1978-09-15,8464990
2737,Travis Brigley,1996,39,C,1977-06-16,8464993
29571,Jan Bulis,1996,43,R,1978-03-18,8464998
62138,Mathieu Garon,1996,44,G,1978-01-09,8464999
5418,Pierre Dagenais,1996,47,L,1978-03-04,8465003
27940,Yuri Babenko,1996,51,R,1978-01-02,8465002
16772,Francois Methot,1996,54,C,1978-04-26,8465007
29963,Zdeno Chara,1996,56,D,1977-01-17,None
52119,Sergei Zimakov,1996,58,D,1978-01-15,8465011
39954,Per-Anton Lundstrom,1996,62,D,1977-09-29,8465015
38620,Oleg Kvasha,1996,65,L,1978-07-26,8465018
47175,Jon Sim,1996,70,L,1977-09-29,8465024
58804,Boyd Kane,1996,72,L,1978-04-18,8465028
50730,Dmitri Vlasenkov,1996,73,L,1978-01-01,8465030
48472,Dmitri Subbotin,1996,76,L,1977-10-20,8465033
16557,Shawn Mcneil,1996,78,C,1978-03-17,8465027
42143,Antti Jussi Niemi,1996,81,D,1977-09-22,8465034
47152,Mikael Simons,1996,84,R,1978-01-15,8465037
40077,Craig Macdonald,1996,88,C,1977-04-07,8465041
29253,Josef Boumedienne,1996,91,D,1978-01-12,8465044
47977,Kim Staal,1996,92,C,1978-03-10,8465045
60553,Eric Belanger,1996,96,C,1977-12-16,8465050
40117,Josh Macnevin,1996,101,D,1977-07-14,8465057
27673,Vladimir Antipov,1996,103,L,1978-01-17,8465251
23765,Brandon Sugden,1996,111,R,1978-06-23,8465065
49199,Alexei Tezikov,1996,115,D,1978-06-22,8465071
39584,Richard Lintner,1996,119,D,1977-11-15,8465252
48302,Josef Straka,1996,122,C,1978-02-11,8465080
45827,Petr Sachl,1996,128,R,1977-12-02,8465088
44171,Michal Podolka,1996,135,G,1977-08-11,8465062
30358,Andreas Dackell,1996,136,L,1972-01-28,None
7182,Robert Esche,1996,139,G,1978-01-22,8465093
42259,Magnus Nilsson,1996,144,L,1978-02-01,8465111
55456,Brian Willsie,1996,146,L,1978-03-16,8465113
16142,Nolan Mcdonald,1996,147,G,1977-07-29,8465114
34801,Nikolai Ignatov,1996,152,D,1978-04-22,None
10768,Dan Hinote,1996,167,C,1977-01-30,8465175
30288,Daniel Corso,1996,169,C,1978-04-03,8465179
392,Daryl Andrews,1996,173,D,1977-04-27,8465188
39296,Trevor Letowski,1996,174,R,1977-04-05,8465189
18759,Samuel Pahlsson,1996,176,C,1977-12-17,8465192
38220,Pavel Kubina,1996,179,D,1977-04-15,8465210
50496,Timo Vertala,1996,181,L,1978-05-02,8465212
16684,Eric Meloche,1996,186,R,1976-05-01,8465220
40371,Roman Malov,1996,187,L,1977-09-24,8465224
28360,Colin Beardsmore,1996,189,L,1978-02-07,8465227
25010,Steve Valiquette,1996,190,G,1977-08-20,8465161
37520,Evgeny Korolev,1996,192,D,1978-07-24,8465165
38633,Joel Kwiatkowski,1996,194,D,1977-03-22,8465168
53643,Fernando Pisani,1996,195,R,1976-12-27,8465170
44165,Andrei Podkonicky,1996,196,L,1978-05-09,8465178
15582,Kevin Marsh,1996,197,R,1978-06-30,8465181
35805,Tomas Kaberle,1996,204,D,1978-03-02,8465200
42941,Oleg Orekhovsky,1996,206,D,1977-11-03,8465203
28109,Mattia Baldi,1996,207,N/A,1977-07-12,8465205
32695,Erich Goldmann,1996,212,D,1976-04-07,8465222
30191,Ivan Ciernik,1996,216,L,1977-01-29,None
43798,Pasi Petrilainen,1996,225,D,1978-05-05,8465171
50138,Lubomir Vaic,1996,227,C,1977-03-06,8465176
43805,Ronald Petrovicky,1996,228,R,1977-02-15,8465180
44893,Askhat Rakhmatullin,1996,231,L,1978-05-16,8465246
47702,Anders Soderberg,1996,234,L,1975-10-07,8465197
48564,Ronnie Sundin,1996,237,D,1970-10-03,8465236
56595,Joe Thornton,1997,1,C,1979-07-02,8466138
49379,Daniel Tkaczuk,1997,6,C,1979-06-10,8466143
45250,Michel Riesen,1997,14,R,1979-04-11,8466150
30801,Robert Dome,1997,17,C,1979-01-29,8462843
34312,Michael Holmqvist,1997,18,C,1979-06-08,8466153
42388,Mika Noronen,1997,21,G,1979-06-17,8466156
30258,Ben Clymer,1997,27,D,1978-04-11,8466162
28215,Scott Barney,1997,29,R,1979-03-27,8466164
43568,Jean-Marc Pelletier,1997,30,G,1978-03-04,8466165
7925,Jean-Francois Fortin,1997,35,D,1979-03-15,8466170
33021,Stanislav Gron,1997,38,C,1978-10-28,8466173
45092,Jeremy Reich,1997,39,L,1979-02-11,8466174
49653,John Tripp,1997,42,R,1977-05-04,8462103
33206,Juha Gustafsson,1997,43,D,1979-04-26,8466177
28123,Maxim Balmochnykh,1997,45,L,1979-03-07,8466179
34711,Kristian Huselius,1997,47,R,1978-11-10,8466181
29676,Yuri Butsayev,1997,49,C,1978-10-11,8466183
12258,Pat Kavanagh,1997,50,C,1979-03-14,8466184
37158,Dmitri Kokorev,1997,51,D,1979-01-09,8466185
28686,Rick Berry,1997,55,D,1978-11-04,8466189
29861,Vratislav Cech,1997,56,D,1979-06-28,None
34698,Jani Hurme,1997,58,G,1975-01-07,8466192
9209,Lee Goren,1997,63,R,1977-12-26,8466197
41193,Ilkka Mikkola,1997,65,D,1979-01-18,8466199
38819,Josh Langfeld,1997,66,R,1977-07-17,8466200
27169,Maxim Afinogenov,1997,69,R,1979-09-04,8466202
40957,Josef Melichar,1997,71,D,1979-01-20,8466203
48859,Petr Sykora,1997,76,R,1978-12-21,8466208
42138,Ville Nieminen,1997,78,L,1977-04-06,8466210
46371,Robert Schnabel,1997,79,D,1978-11-10,8466211
41158,Petr Mika,1997,85,C,1979-02-12,8466217
48021,Chris Stanley,1997,90,C,1979-06-18,8466220
35937,Tomi Kallarsson,1997,93,D,1979-03-15,8466223
31302,Jonas Elofsson,1997,94,D,1979-01-31,8466224
42476,Ivan Novoseltsev,1997,95,L,1979-01-23,8466225
34399,Jan Horacek,1997,98,D,1979-05-22,8466228
1948,Sean Blanchard,1997,99,D,1978-03-29,8466229
20387,Ryan Ready,1997,100,L,1978-11-07,8466230
62122,Quintin Laing,1997,102,L,1979-06-08,8466232
30025,Mikhail Chernov,1997,103,D,1978-11-11,None
38047,Marc Kristoffersson,1997,105,C,1979-01-22,8466235
19801,Jame Pollock,1997,106,D,1979-06-16,8466236
47155,Benjamin Simon,1997,110,C,1978-06-14,8466240
41594,Frantisek Mrazek,1997,111,L,1979-05-16,8466241
45043,Gennady Razin,1997,122,D,1978-02-03,8466252
19959,Harlan Pratt,1997,124,D,1978-12-10,8466254
3337,Kyle Calder,1997,130,R,1979-01-05,8466260
28761,Jiri Bicek,1997,131,L,1978-12-03,8466261
31306,Teemo Elomo,1997,132,R,1979-01-13,8466262
51677,Mike York,1997,136,C,1978-01-03,8466266
43791,Henrik Petre,1997,143,D,1979-04-09,8466273
32086,Robert Francz,1997,151,R,1978-03-30,8466280
47377,Andrei Skopintsev,1997,153,D,1971-09-28,8466282
32671,Sascha Goc,1997,159,D,1979-04-14,8466288
49332,Alexei Timkin,1997,160,N/A,1979-04-21,8466289
27156,David Aebischer,1997,161,G,1978-02-07,8466290
47804,Eero Somervuori,1997,170,R,1979-02-27,8466298
34311,Johan Holmqvist,1997,175,G,1978-05-24,8466303
2153,Kevin Bolibruck,1997,176,D,1977-02-08,8462116
41823,Ladislav Nagy,1997,177,L,1979-06-01,8466304
90,Jeremy Adduono,1997,184,C,1978-08-04,8466014
38654,Antti Laaksonen,1997,191,L,1973-10-03,8466316
42349,Niklas Nordgren,1997,195,L,1979-06-28,8466320
38233,Petr Kubos,1997,197,D,1979-09-10,8466322
47029,Andrei Sidyakin,1997,202,R,1979-01-20,8466327
44031,Kamil Piros,1997,212,C,1978-11-20,8466336
